time,seconds_elapsed,z,y,x,Activity,Shake
1743284677044132400,9.53313232421875,-2.5091233253479004,-5.525817394256592,-5.995080947875977,In Pocket,False
1743284677054172400,9.54317236328125,-2.365471363067627,-5.497087001800537,-5.813121795654297,In Pocket,False
1743284677064212700,9.553212646484376,-2.078166961669922,-5.181052684783936,-5.564124584197998,In Pocket,False
1743284677074252800,9.563252685546876,-1.972822189331055,-5.123591423034668,-5.784391403198242,In Pocket,False
1743284677084293000,9.573293212890626,-1.6759412288665771,-5.008669853210449,-5.755661010742188,In Pocket,False
1743284677094333200,9.583333251953125,-1.37906014919281,-4.922478675842285,-6.224924564361572,In Pocket,False
1743284677104373500,9.59337353515625,-1.158793568611145,-4.721365928649902,-6.6846113204956055,In Pocket,False
1743284677114444000,9.603444091796876,-1.292868971824646,-4.51067590713501,-7.307103633880615,In Pocket,False
1743284677124484400,9.613484375,-1.1492167711257937,-4.261679172515869,-7.747636795043945,In Pocket,False
1743284677134524400,9.6235244140625,-1.3311761617660522,-4.242525577545166,-7.747636795043945,In Pocket,False
1743284677144564700,9.633564697265625,-1.800439715385437,-4.242525577545166,-7.182605266571045,In Pocket,False
1743284677154604800,9.643604736328124,-2.250549554824829,-4.367023944854736,-6.703764915466309,In Pocket,False
1743284677164644900,9.653644775390624,-2.38462495803833,-4.434061527252197,-6.311115741729736,In Pocket,False
1743284677174685200,9.663685302734375,-2.1739351749420166,-4.4532151222229,-5.832275390625,In Pocket,False
1743284677184725200,9.673725341796874,-2.0685901641845703,-4.472368717193604,-5.65031623840332,In Pocket,False
1743284677194765600,9.683765625,-2.3271639347076416,-4.424484729766846,-5.439626216888428,In Pocket,False
1743284677204836000,9.693836181640624,-2.834734916687012,-4.462791919708252,-5.506663799285889,In Pocket,False
1743284677214876400,9.70387646484375,-3.3231520652771,-4.587290287017822,-5.621585369110107,In Pocket,False
1743284677224916500,9.71391650390625,-3.543418407440185,-4.721365928649902,-5.717353820800781,In Pocket,False
1743284677234956800,9.723956787109374,-3.600879430770874,-4.970362663269043,-5.995080947875977,In Pocket,False
1743284677244996900,9.733996826171875,-3.409343242645264,-5.190629482269287,-6.291962146759033,In Pocket,False
1743284677255037200,9.744037109375,-3.25611424446106,-5.439626216888428,-6.636727333068848,In Pocket,False
1743284677265077200,9.7540771484375,-2.873042106628418,-5.793968200683594,-7.029376029968262,In Pocket,False
1743284677275117600,9.76411767578125,-2.6144683361053467,-6.14831018447876,-7.450755596160889,In Pocket,False
1743284677285157600,9.77415771484375,-2.470816135406494,-6.627150535583496,-7.785943984985352,In Pocket,False
1743284677295197700,9.78419775390625,-2.451662540435791,-6.904877662658691,-7.929595947265625,In Pocket,False
1743284677305238000,9.794238037109375,-2.6144683361053467,-7.287950038909912,-8.159439086914062,In Pocket,False
1743284677315278000,9.804278076171874,-3.0358476638793945,-7.58483076095581,-8.274360656738281,In Pocket,False
1743284677325348900,9.814348876953124,-3.859453201293945,-7.709329605102539,-8.216899871826172,In Pocket,False
1743284677335389000,9.824388916015623,-4.999093055725098,-7.58483076095581,-8.006210327148438,In Pocket,False
1743284677345429200,9.83442919921875,-6.416460514068604,-7.565677165985107,-7.747636795043945,In Pocket,False
1743284677355469300,9.84446923828125,-7.594407558441162,-7.489062786102295,-7.843404769897461,In Pocket,False
1743284677365509600,9.854509521484376,-8.303091049194336,-7.565677165985107,-8.322244644165039,In Pocket,False
